NetbiosName,Name,Manufacturer,Family,CPUKey
B5805009,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,GenuineIntel,205,000406E3
B5864137OLD,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,GenuineIntel,206,000506E3
B5589006,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,GenuineIntel,205,000406E3
B5735053,Intel(R) Core(TM) i5-6400T CPU @ 2.20GHz,GenuineIntel,205,000506E3
B5561258,Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz,GenuineIntel,206,000406E3
B5583063,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,GenuineIntel,198,000506E3
B5407030,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,GenuineIntel,205,000406E3
B8301602,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,GenuineIntel,205,000406E3
B5580002,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,GenuineIntel,205,000406E3
B5541097,Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz,GenuineIntel,206,000406E3
B7814001-OLD55,Intel(R) Core(TM) i7-6500U CPU @ 2.50GHz,GenuineIntel,198,000406E3
B5735050,Intel(R) Core(TM) i5-6400T CPU @ 2.20GHz,GenuineIntel,205,000506E3
B8201720,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,GenuineIntel,205,000406E3
B5813529,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,GenuineIntel,205,000406E3
B5117064,Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz,GenuineIntel,206,000406E3
B5768042,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,GenuineIntel,198,000506E3
B5768035,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,GenuineIntel,198,000506E3
B8301573,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,GenuineIntel,205,000406E3
B5941044,Intel(R) Core(TM) i5-6400T CPU @ 2.20GHz,GenuineIntel,205,000506E3
B5471298-OLD,Intel(R) Core(TM) i7-6500U CPU @ 2.50GHz,GenuineIntel,198,000406E3
B5621010,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,GenuineIntel,205,000406E3
B5862082,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,GenuineIntel,205,000406E3
B5854177,Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz,GenuineIntel,206,000406E3
B7111001,Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz,GenuineIntel,206,000406E3
B5492044,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,GenuineIntel,205,000406E3
B5900006,Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz,GenuineIntel,206,000406E3
B5501023,Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz,GenuineIntel,206,000406E3
B5473191,Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz,GenuineIntel,206,000406E3
B5463059,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,GenuineIntel,205,000406E3
B5768028,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,GenuineIntel,198,000506E3
B5813247-OLD1,Intel(R) Core(TM) i7-6500U CPU @ 2.50GHz,GenuineIntel,198,000406E3
B5587059,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,GenuineIntel,205,000406E3
